Province,Year,HHI_Score,CGC_Score,CCD_Score,ACC_Score
CATANDUANES,2007,267.625433,0.710169,0.351351,7.358333
CATANDUANES,2010,240.980136,0.649232,0.442623,8.896825
CATANDUANES,2013,348.067841,0.635849,0.478261,5.382576
CATANDUANES,2016,234.899329,0.617128,0.434426,10.967857
CATANDUANES,2019,285.660615,0.548284,0.464912,9.533766
CATANDUANES,2022,311.418685,0.553982,0.487395,7.140873
CATANDUANES,2025,383.333333,0.742957,0.265306,3.45
CAVITE,2004,120.023879,0.739327,0.34127,17.417857
CAVITE,2007,146.220891,0.676033,0.395062,15.622619
CAVITE,2010,148.449704,0.714697,0.396226,15.715909
CAVITE,2013,185.980043,0.644001,0.496094,19.1421
CAVITE,2016,174.002436,0.679078,0.475472,18.049675
CAVITE,2019,115.54793,0.660117,0.395604,22.130592
CAVITE,2022,175.640668,0.673268,0.517483,18.59127
CAVITE,2025,201.211073,0.718497,0.475,17.322161
CEBU,2004,68.263361,0.772045,0.336918,40.207572
CEBU,2007,85.861036,0.737873,0.402904,39.682633
CEBU,2010,91.343952,0.712008,0.458988,36.595213
CEBU,2013,66.546728,0.706278,0.399299,42.965512
CEBU,2016,67.136283,0.722395,0.397869,42.382612
CEBU,2019,74.52737,0.746516,0.376667,44.366739
CEBU,2022,67.124537,0.722317,0.408784,43.36912
CEBU,2025,78.175473,0.707737,0.396061,38.086544
COTABATO,2004,75.684428,0.913102,0.105528,9.5
COTABATO,2007,87.879215,0.92048,0.125654,9.5
COTABATO,2010,88.603204,0.87986,0.168317,11.633333
COTABATO,2013,107.138547,0.8414,0.175532,9.72619
COTABATO,2016,96.894042,0.817523,0.189055,10.583333
COTABATO,2019,99.9752,0.810082,0.206731,14.42619
COTABATO,2022,122.959707,0.795398,0.255924,13.683333
COTABATO,2025,158.448753,0.772906,0.287179,11.820635
DAVAO DE ORO,2004,115.60857,0.925433,0.054054,3.0
DAVAO DE ORO,2007,108.917955,0.912051,0.075,3.5
DAVAO DE ORO,2010,130.257445,0.83655,0.138211,5.666667
DAVAO DE ORO,2013,124.24535,0.840737,0.120968,6.25
DAVAO DE ORO,2016,151.945888,0.832176,0.188525,7.833333
DAVAO DE ORO,2019,160.156193,0.754826,0.201835,10.0
DAVAO DE ORO,2022,174.747129,0.84844,0.152174,6.25
DAVAO DE ORO,2025,183.106004,0.79369,0.233871,7.616667
DAVAO DEL NORTE,2004,118.23134,0.917134,0.096774,4.416667
DAVAO DEL NORTE,2007,113.682277,0.877462,0.125,6.0
DAVAO DEL NORTE,2010,135.684444,0.8847,0.134328,4.892857
DAVAO DEL NORTE,2013,130.934911,0.80885,0.179104,9.083333
DAVAO DEL NORTE,2016,118.747412,0.827153,0.169118,10.166667
DAVAO DEL NORTE,2019,133.167824,0.817959,0.2,9.333333
DAVAO DEL NORTE,2022,138.292718,0.887823,0.169014,7.216667
DAVAO DEL NORTE,2025,177.801511,0.780738,0.227273,8.75
DAVAO DEL SUR,2004,102.347742,0.832526,0.176471,8.092857
DAVAO DEL SUR,2007,121.556595,0.821431,0.210227,9.483333
DAVAO DEL SUR,2010,115.78387,0.826308,0.184783,10.158333
DAVAO DEL SUR,2013,118.769263,0.822809,0.180124,8.833333
DAVAO DEL SUR,2016,113.00147,0.861934,0.132867,7.166667
DAVAO DEL SUR,2019,131.618084,0.86914,0.171429,7.883333
DAVAO DEL SUR,2022,145.271582,0.863357,0.210884,8.409524
DAVAO DEL SUR,2025,167.789668,0.868624,0.229167,10.466667
DAVAO OCCIDENTAL,2004,3610.82206,0.591033,0.444444,1.25
DAVAO OCCIDENTAL,2007,3485.952133,0.636473,0.4,1.25
DAVAO OCCIDENTAL,2010,2885.802469,0.71624,0.333333,1.25
DAVAO OCCIDENTAL,2013,2324.263039,0.740566,0.357143,1.75
DAVAO OCCIDENTAL,2016,728.012465,0.743471,0.467742,5.861111
DAVAO OCCIDENTAL,2019,772.734331,0.782507,0.403509,4.880952
DAVAO OCCIDENTAL,2022,827.595281,0.790647,0.377049,4.633333
DAVAO OCCIDENTAL,2025,771.070956,0.811333,0.365079,3.939394
DAVAO ORIENTAL,2004,136.55644,0.839398,0.16,7.333333
DAVAO ORIENTAL,2007,180.674,0.829182,0.208696,8.333333
DAVAO ORIENTAL,2010,172.809766,0.827004,0.21875,9.75
DAVAO ORIENTAL,2013,170.97245,0.798059,0.210938,8.883333
DAVAO ORIENTAL,2016,175.259521,0.810862,0.21875,9.3
DAVAO ORIENTAL,2019,234.375,0.808891,0.246154,8.708333
DAVAO ORIENTAL,2022,206.267627,0.830023,0.248062,9.02381
DAVAO ORIENTAL,2025,169.379299,0.838766,0.214286,9.416667
DINAGAT ISLANDS,2004,796.67063,-0.0,0.0,0.0
DINAGAT ISLANDS,2007,496.345239,0.844478,0.232877,3.742424
DINAGAT ISLANDS,2010,483.146885,0.844485,0.297619,4.575758
DINAGAT ISLANDS,2013,458.880342,0.857456,0.285714,4.683333
DINAGAT ISLANDS,2016,533.572385,0.842935,0.304878,3.759091
DINAGAT ISLANDS,2019,279.574326,0.834178,0.231707,4.25
DINAGAT ISLANDS,2022,348.495246,0.846171,0.289157,6.233333
DINAGAT ISLANDS,2025,292.1762,0.845672,0.2125,4.875
EASTERN SAMAR,2004,110.630859,0.697112,0.327801,16.97619
EASTERN SAMAR,2007,142.832862,0.699942,0.410042,15.095635
EASTERN SAMAR,2010,151.471074,0.612388,0.465217,19.432576
EASTERN SAMAR,2013,148.450393,0.661398,0.42654,15.27619
EASTERN SAMAR,2016,176.8538,0.707357,0.44,14.595635
EASTERN SAMAR,2019,210.89512,0.76248,0.431034,14.860714
EASTERN SAMAR,2022,190.808922,0.731004,0.443966,19.291667
EASTERN SAMAR,2025,189.697366,0.738941,0.469388,18.641667
GUIMARAS,2004,312.868949,0.861975,0.145161,2.916667
GUIMARAS,2007,347.796143,0.815613,0.188679,4.666667
GUIMARAS,2010,368.17883,0.789742,0.253968,4.916667
GUIMARAS,2013,326.587651,0.660525,0.285714,6.0
GUIMARAS,2016,356.290257,0.587964,0.360656,7.166667
GUIMARAS,2019,378.119722,0.638564,0.344262,5.75
GUIMARAS,2022,514.615719,0.696959,0.365079,5.3
GUIMARAS,2025,507.924303,0.703805,0.412698,5.444444
IFUGAO,2004,120.327552,0.871408,0.107438,4.416667
IFUGAO,2007,170.410801,0.839544,0.180328,3.375
IFUGAO,2010,137.087044,0.828663,0.204918,7.2
IFUGAO,2013,153.863832,0.834,0.196721,6.125
IFUGAO,2016,189.534843,0.796529,0.233333,6.216667
IFUGAO,2019,184.220679,0.811449,0.241667,5.041667
IFUGAO,2022,204.807552,0.78523,0.274194,4.666667
IFUGAO,2025,164.722421,0.750563,0.243902,5.908333
ILOCOS NORTE,2004,157.369037,0.689435,0.412955,15.778211
ILOCOS NORTE,2007,187.95629,0.628294,0.504032,19.334463
ILOCOS NORTE,2010,188.801002,0.651632,0.480519,16.659957
ILOCOS NORTE,2013,238.098491,0.652208,0.532,14.973052
ILOCOS NORTE,2016,246.777691,0.681271,0.527197,14.572161
ILOCOS NORTE,2019,194.934757,0.721466,0.449799,16.455252
ILOCOS NORTE,2022,237.040337,0.668483,0.502008,16.99881
ILOCOS NORTE,2025,246.27269,0.690615,0.534413,14.596615
ILOCOS SUR,2004,84.281892,0.777861,0.315789,26.34329
ILOCOS SUR,2007,110.950481,0.76109,0.379939,24.036147
ILOCOS SUR,2010,132.954565,0.779529,0.403458,23.798947
ILOCOS SUR,2013,152.017656,0.78803,0.428969,21.51859
ILOCOS SUR,2016,143.813825,0.777754,0.430168,21.086147
ILOCOS SUR,2019,88.443531,0.780658,0.351955,25.472619
ILOCOS SUR,2022,127.191739,0.824669,0.396175,24.068838
ILOCOS SUR,2025,163.89339,0.793799,0.430168,20.690763
ILOILO,2004,56.965518,0.799752,0.266234,30.735256
ILOILO,2007,66.270511,0.791261,0.32816,31.152778
ILOILO,2010,85.191172,0.788021,0.347534,27.97519
ILOILO,2013,72.612415,0.777441,0.329004,27.361147
ILOILO,2016,79.855213,0.769621,0.349241,32.540209
ILOILO,2019,69.273079,0.755458,0.328918,31.980357
ILOILO,2022,84.51424,0.797054,0.368308,31.917857
ILOILO,2025,86.412236,0.790779,0.37069,32.085592
ISABELA,2004,120.996379,0.677804,0.468193,23.84531
ISABELA,2007,144.02557,0.677818,0.502688,23.803546
ISABELA,2010,177.098304,0.659565,0.562341,21.431474
ISABELA,2013,155.927743,0.648849,0.563452,22.375267
ISABELA,2016,164.560034,0.710073,0.517426,22.21075
ISABELA,2019,132.656624,0.708377,0.486747,28.856364
ISABELA,2022,157.104873,0.659989,0.591584,25.14644
ISABELA,2025,277.622974,0.715521,0.608802,17.515207
KALINGA,2004,135.735285,0.917562,0.044444,2.0
KALINGA,2007,144.345939,0.912088,0.065934,3.0
KALINGA,2010,248.346036,0.795723,0.217391,4.816667
KALINGA,2013,202.498513,0.87636,0.120482,3.666667
KALINGA,2016,210.765432,0.844245,0.172043,4.47619
KALINGA,2019,185.505575,0.820866,0.139535,4.25
KALINGA,2022,197.728395,0.871856,0.16129,4.0
KALINGA,2025,151.217559,0.816494,0.126316,6.0
LA UNION,2004,147.876194,0.828039,0.316514,13.181746
LA UNION,2007,171.865503,0.753879,0.392344,14.487338
LA UNION,2010,164.041107,0.763867,0.37037,14.034524
LA UNION,2013,157.756543,0.734864,0.39726,18.416667
LA UNION,2016,177.748211,0.727753,0.409524,12.964683
LA UNION,2019,203.760272,0.736815,0.397321,16.67619
LA UNION,2022,185.091669,0.784022,0.369863,16.464394
LA UNION,2025,239.105753,0.738296,0.462555,16.930409
LAGUNA,2004,67.9967,0.792257,0.244514,22.067857
LAGUNA,2007,84.908442,0.751274,0.296667,18.35
LAGUNA,2010,79.046555,0.739288,0.286765,22.47619
LAGUNA,2013,84.193958,0.772528,0.282895,18.194444
LAGUNA,2016,99.871155,0.73655,0.336391,25.056746
LAGUNA,2019,78.051632,0.714671,0.32659,27.510714
LAGUNA,2022,93.567692,0.687966,0.384615,26.977778
LAGUNA,2025,119.830109,0.737642,0.411079,27.314933
LANAO DEL NORTE,2004,75.786079,0.83086,0.187251,15.033333
LANAO DEL NORTE,2007,130.686365,0.786138,0.309322,16.909524
LANAO DEL NORTE,2010,152.902308,0.78503,0.356589,16.663131
LANAO DEL NORTE,2013,133.619995,0.83454,0.308943,16.381746
LANAO DEL NORTE,2016,156.655161,0.796344,0.395349,16.942424
LANAO DEL NORTE,2019,235.661441,0.760244,0.435424,17.783586
LANAO DEL NORTE,2022,194.131347,0.790619,0.370229,15.981421
LANAO DEL NORTE,2025,160.713841,0.801905,0.354839,18.927778
LANAO DEL SUR,2004,93.0112,0.745901,0.302752,20.6
LANAO DEL SUR,2007,152.396465,0.666718,0.467692,18.502183
LANAO DEL SUR,2010,197.789359,0.725075,0.463504,13.198352
LANAO DEL SUR,2013,220.074488,0.70928,0.484848,16.150433
LANAO DEL SUR,2016,202.947399,0.68255,0.514388,12.959264
LANAO DEL SUR,2019,249.126001,0.696894,0.57109,13.554417
LANAO DEL SUR,2022,630.044235,0.733671,0.564885,6.074145
LANAO DEL SUR,2025,317.978839,0.677635,0.643068,14.979946
LEYTE,2004,75.82377,0.799072,0.296296,27.009163
LEYTE,2007,80.314455,0.739411,0.363426,31.304737
LEYTE,2010,71.037455,0.768553,0.337079,36.446465
LEYTE,2013,62.239894,0.811472,0.264019,29.598413
LEYTE,2016,70.557186,0.770239,0.307692,30.169643
LEYTE,2019,64.502405,0.784578,0.317422,32.816667
LEYTE,2022,70.713163,0.785522,0.310096,26.541667
LEYTE,2025,112.721444,0.761567,0.397351,24.677356
MAGUINDANAO,2004,319.25726,0.764119,0.475352,12.025397
MAGUINDANAO,2007,297.836589,0.769582,0.377622,8.970238
MAGUINDANAO,2010,464.496975,0.748482,0.656425,13.44164
MAGUINDANAO,2013,376.534578,0.767779,0.582609,15.392131
MAGUINDANAO,2016,444.102408,0.731786,0.648294,13.215785
MAGUINDANAO,2019,407.77837,0.744035,0.649383,17.969028
MAGUINDANAO,2022,425.889044,0.731765,0.676218,11.92634
MAGUINDANAO,2025,449.50314,0.730362,0.679293,15.753087
MARINDUQUE,2004,204.818069,0.824335,0.112676,3.333333
MARINDUQUE,2007,246.385298,0.895678,0.098361,1.75
MARINDUQUE,2010,232.884493,0.83522,0.15493,4.25
MARINDUQUE,2013,251.595443,0.807749,0.197183,5.083333
MARINDUQUE,2016,210.164055,0.827742,0.15493,5.5
MARINDUQUE,2019,216.729106,0.892392,0.128571,4.5
MARINDUQUE,2022,227.538508,0.795012,0.183099,5.833333
MARINDUQUE,2025,277.378786,0.778925,0.219178,4.916667
MASBATE,2004,133.72755,0.785968,0.31441,13.929762
MASBATE,2007,117.24515,0.718587,0.333333,18.737302
MASBATE,2010,134.206589,0.716388,0.348018,20.082576
MASBATE,2013,159.522475,0.733687,0.381579,17.701587
MASBATE,2016,141.224586,0.733139,0.359649,20.133333
MASBATE,2019,145.137926,0.732055,0.385593,21.525
MASBATE,2022,218.097876,0.75192,0.419913,15.24561
MASBATE,2025,220.20633,0.802949,0.377143,15.490909
MISAMIS OCCIDENTAL,2004,132.732781,0.811748,0.235294,9.265079
MISAMIS OCCIDENTAL,2007,188.536318,0.776486,0.294444,12.964286
MISAMIS OCCIDENTAL,2010,126.230092,0.841428,0.177632,8.333333
MISAMIS OCCIDENTAL,2013,147.392785,0.783314,0.28,12.97619
MISAMIS OCCIDENTAL,2016,186.972026,0.777452,0.326316,11.7671
MISAMIS OCCIDENTAL,2019,134.89387,0.733698,0.307263,14.95
MISAMIS OCCIDENTAL,2022,189.062051,0.782784,0.323077,12.455495
MISAMIS OCCIDENTAL,2025,168.951774,0.772651,0.315789,10.67619
MISAMIS ORIENTAL,2004,113.346526,0.773025,0.298932,16.61859
MISAMIS ORIENTAL,2007,124.584814,0.768576,0.350365,16.706746
MISAMIS ORIENTAL,2010,107.794865,0.771735,0.362369,21.837302
MISAMIS ORIENTAL,2013,100.971239,0.786535,0.319298,20.209524
MISAMIS ORIENTAL,2016,110.796691,0.772398,0.364583,24.477778
MISAMIS ORIENTAL,2019,133.669828,0.746051,0.356115,17.801923
MISAMIS ORIENTAL,2022,128.07174,0.776993,0.349481,21.644877
MISAMIS ORIENTAL,2025,103.712512,0.779522,0.326389,21.684524
MOUNTAIN PROVINCE,2004,124.142575,0.968003,0.036364,1.666667
MOUNTAIN PROVINCE,2007,114.210285,0.978114,0.018349,1.0
MOUNTAIN PROVINCE,2010,113.735299,0.965828,0.027027,1.5
MOUNTAIN PROVINCE,2013,113.182515,0.950006,0.036036,2.0
MOUNTAIN PROVINCE,2016,107.101892,0.95045,0.027027,1.5
MOUNTAIN PROVINCE,2019,112.775482,0.931225,0.054545,3.0
MOUNTAIN PROVINCE,2022,108.54835,0.935807,0.044248,2.5
MOUNTAIN PROVINCE,2025,114.452092,0.93159,0.053097,2.333333
"NCR, CITY OF MANILA, FIRST DISTRICT",2004,346.313912,0.824516,0.155556,2.5
"NCR, CITY OF MANILA, FIRST DISTRICT",2007,376.693555,0.762219,0.204545,3.5
"NCR, CITY OF MANILA, FIRST DISTRICT",2010,467.836257,0.688534,0.326087,3.916667
"NCR, CITY OF MANILA, FIRST DISTRICT",2013,339.508507,0.779211,0.2,3.666667
"NCR, CITY OF MANILA, FIRST DISTRICT",2016,353.119093,0.866062,0.133333,2.25
"NCR, CITY OF MANILA, FIRST DISTRICT",2019,437.239738,0.709402,0.230769,2.25
"NCR, CITY OF MANILA, FIRST DISTRICT",2022,372.222222,0.735003,0.22449,2.45
"NCR, CITY OF MANILA, FIRST DISTRICT",2025,859.183673,0.758036,0.36,3.861111
"NCR, FOURTH DISTRICT",2004,191.057494,0.728298,0.295082,9.72619
"NCR, FOURTH DISTRICT",2007,277.496044,0.762519,0.338583,6.752778
"NCR, FOURTH DISTRICT",2010,202.12416,0.726171,0.309524,8.109524
"NCR, FOURTH DISTRICT",2013,227.061899,0.739232,0.344,8.616667
"NCR, FOURTH DISTRICT",2016,204.228344,0.767435,0.325203,8.991667
"NCR, FOURTH DISTRICT",2019,240.041617,0.812807,0.298077,6.722222
"NCR, FOURTH DISTRICT",2022,219.240468,0.811646,0.261538,8.133333
"NCR, FOURTH DISTRICT",2025,267.085864,0.803841,0.357143,10.568687
"NCR, SECOND DISTRICT",2004,244.185829,0.78,0.26087,5.166667
"NCR, SECOND DISTRICT",2007,345.804989,0.70801,0.357143,6.377778
"NCR, SECOND DISTRICT",2010,394.275894,0.680703,0.376344,6.224242
"NCR, SECOND DISTRICT",2013,295.662166,0.724178,0.382609,7.05
"NCR, SECOND DISTRICT",2016,243.354268,0.783034,0.292035,7.0
"NCR, SECOND DISTRICT",2019,482.971401,0.744354,0.314286,3.611111
"NCR, SECOND DISTRICT",2022,318.021201,0.667496,0.412281,9.044048
"NCR, SECOND DISTRICT",2025,360.946968,0.627501,0.525,12.922222
